Movie_Title,Movie_ID,ListOfCertificate
Broadcast News,92699,R
Dennis the Menace,106701,PG
DragonHeart,116136,PG-13
Hoodwinked,443536,PG
The Phantom of the Opera,293508,PG-13
American Made,3532216,R
Sneakers,105435,PG-13
Enemy at the Gates,215750,R
A Cinderella Story,356470,PG
My Bloody Valentine,1179891,R
Finding Neverland,308644,PG
Like Mike,308506,PG
The Grey,1601913,R
Sleeping Beauty,53285,G
Atomic Blonde,2406566,R
Under Siege 2: Dark Territory,114781,R
The China Syndrome,78966,PG
Home on the Range,299172,PG
Evita,116250,PG
Stigmata,145531,R
Sicario: Day of the Soldado,5052474,R
Sommersby,108185,PG-13
Breakdown,118771,R
Little Women,110367,PG
Natural Born Killers,110632,"R,NC-17"
The Book of Life,2262227,PG
Hot Tub Time Machine,1231587,R
Angels in the Outfield,109127,PG
Serendipity,240890,PG-13
Overboard,1563742,PG-13
If I Stay,1355630,PG-13
The Four Seasons,82405,PG
K-PAX,272152,PG-13
The Tuxedo,290095,PG-13
A View to a Kill,90264,PG
Eddie Murphy: Raw,92948,R
Music and Lyrics,758766,PG-13
The Huntsman: Winter's War,2381991,PG-13
The Game,119174,R
Peter Pan,316396,PG
Miss Congeniality 2: Armed & Fabulous,385307,PG-13
The Dilemma,1578275,PG-13
Peter Pan 2: Return to Never Land,280030,G
Gemini Man,1025100,PG-13
Date Movie,466342,PG-13
Isn't It Romantic,2452244,PG-13
I Feel Pretty,6791096,PG-13
Speed 2: Cruise Control,120179,PG-13
About Last Night,1826590,R
Firewall,408345,PG-13
Men of Honor,203019,R
Lady Bird,4925292,R
Diary of a Wimpy Kid: Dog Days,2023453,PG
The Deer Hunter,77416,R
The Judge,1872194,R
Addams Family Values,106220,PG-13
Kate & Leopold,35423,PG-13
First Blood,83944,R
Nanny McPhee,396752,PG
Boo 2! A Madea Halloween,6217804,PG-13
Hostel,450278,R
Airport 1975,71110,PG
Jupiter Ascending,1617661,PG-13
Precious,929632,R
Warcraft,803096,PG-13
Savages,1615065,R
Kingdom of Heaven,320661,R
Hard to Kill,99739,R
The Kingdom,431197,R
Munich,408306,R
Poltergeist,1029360,PG-13
An American Tail,90633,G
Look Who's Talking Too,100050,PG-13
The Toy,84809,PG
Underworld: Rise of the Lycans,834001,R
Snatched,2334871,R
In Good Company,385267,PG-13
The Rainmaker,119978,PG-13
The Breakfast Club,88847,R
Walking Tall,351977,PG-13
"Greystoke: The Legend of Tarzan, Lord of the Apes",87365,PG
Gangster Squad,1321870,R
Mike and Dave Need Wedding Dates,2823054,R
The Full Monty,119164,R
Made of Honor,866439,"R,PG-13"
Malice,107497,R
One Fine Day,117247,PG
The Enforcer,74483,R
Marked for Death,100114,R
Romeo + Juliet,117509,PG-13
Black Rain,96933,R
It's a Mad Mad Mad Mad World,57193,G
Blended,1086772,PG-13
The Internship,2234155,PG-13
The Artist,1655442,PG-13
The Replacements,191397,PG-13
A Nightmare on Elm Street 3: Dream Warriors,93629,R
Midnight Cowboy,64665,"R,X"
Red Dawn,1234719,PG-13
Lawrence of Arabia,56172,PG
Cop Land,118887,R
All Eyez on Me,1666185,R
xXx: Return of Xander Cage,1293847,PG-13
Timecop,111438,R
The Bridge on the River Kwai,50212,PG
Cop Out,1385867,R
First Man,1213641,PG-13
Made in America,107478,PG-13
Foul Play,77578,PG
Soul Food,120169,R
Convoy,77369,PG
Den of Thieves,1259528,R
Frequency,186151,PG-13
Need for Speed,2369135,PG-13
We Are Marshall,758794,PG
Acrimony,6063050,R
West Side Story,55614,
Police Academy 3: Back in Training,91777,PG
Under the Tuscan Sun,328589,PG-13
Tears of the Sun,314353,R
City Slickers II: The Legend of Curly's Gold,109439,PG-13
Cats & Dogs: The Revenge of Kitty Galore,1287468,PG
Underdog,467110,PG
Pokémon the Movie 2000,210234,G
Wall Street,94291,R
The Gift,4178092,R
The Lovely Bones,380510,PG-13
License to Wed,762114,PG-13
Diamonds Are Forever,66995,"GP,PG"
Time Bandits,81633,PG
Casino,112641,"R,NC-17"
"Welcome Home, Roscoe Jenkins",494652,PG-13
"To Sir, with Love",62376,
Widows,4218572,R
Step Up,1193631,PG-13
Uncle Drew,7334528,PG-13
Final Destination 5,1622979,R
Krampus,3850590,PG-13
Max,3369806,PG
The Age of Adaline,1655441,PG-13
Beverly Hills Cop III,109254,R
Glory Road,385726,PG
The Unborn,1139668,PG-13
Teenage Mutant Ninja Turtles III,108308,PG
Mannequin,93493,PG
Rambo,462499,R
Because I Said So,490084,PG-13
The Lizzie McGuire Movie,306841,PG
Death at a Funeral,1321509,R
Heartbreak Ridge,91187,R
About a Boy,276751,PG-13
Tequila Sunrise,96244,R
Gosford Park,280707,R
Peggy Sue Got Married,91738,PG-13
Secondhand Lions,327137,PG
Pale Rider,89767,R
Truth or Dare,6772950,"R,PG-13"
Three Days of the Condor,73802,R
Gremlins 2: The New Batch,99700,PG-13
The Great Outdoors,95253,PG
Bandits,219965,PG-13
High Crimes,257756,PG-13
Orphan,1148204,R
Starting Over,79948,R
The Angry Birds Movie 2,6095472,PG
Ronin,122690,R
This Is Cinerama,45231,G
Cheech and Chong's Next Movie,80520,R
Almost Christmas,4649416,PG-13
"Oh, God!",76489,PG
The Hours,274558,PG-13
Aliens vs. Predator: Requiem,758730,R
Easy Rider,64276,R
The Hills Have Eyes,454841,R
Hanna,993842,PG-13
Mo' Money,104897,R
I Am Sam,277027,PG-13
Heartbreakers,125022,PG-13
Swiss Family Robinson,54357,G
Reds,82979,PG
The Master of Disguise,295427,PG
Blue Crush,300532,PG-13
The Fly,91064,R
Paddington 2,4468740,PG
Jagged Edge,89360,R
The Water Horse,760329,PG
Pleasantville,120789,PG-13
Pretty in Pink,91790,PG-13
Bill & Ted's Excellent Adventure,96928,PG
Ghost in the Shell,1219827,PG-13
Duplicity,1135487,PG-13
The Dark Crystal,83791,PG
Three Fugitives,98471,PG-13
Encino Man,104187,PG
Max Payne,467197,"R,PG-13"
Short Circuit,91949,PG
Little,8085790,PG-13
Blind Date,92666,PG-13
The Expendables 3,2333784,PG-13
Body of Lies,758774,R
Dead Man Walking,112818,R
Rugrats Go Wild,337711,PG
Joe Versus the Volcano,99892,PG
Burlesque,1126591,PG-13
Nobody's Fool,110684,R
Crazy Heart,1263670,R
Little Nicky,185431,PG-13
The Texas Chainsaw Massacre: The Beginning,420294,R
Hocus Pocus,107120,PG
Benji,71206,G
Conan the Barbarian,82198,R
30 Days of Night,389722,R
Out for Justice,102614,R
Jackie Brown,119396,R
Cruel Intentions,139134,R
Evolution,251075,PG-13
City Heat,87062,PG
Last Holiday,408985,PG-13
Red Dawn,87985,PG-13
Gridiron Gang,421206,PG-13
Pride & Prejudice,414387,PG
The Terminator,88247,R
47 Ronin,1335975,PG-13
Running Scared,91875,R
Rock of Ages,1336608,"R,PG-13"
Midnight Run,95631,R
Bachelor Party,86927,R
Spy Kids 4-D: All the Time in the World,1517489,PG
Sex Tape,1956620,R
Nerve,3531824,PG-13
Surrogates,986263,PG-13
The Great Mouse Detective,91149,G
On Deadly Ground,110725,R
The Ghost and the Darkness,116409,R
The Nativity Story,762121,PG
Pan's Labyrinth,457430,R
Philomena,2431286,PG-13
The Aristocats,65421,G
Red Riding Hood,1486185,PG-13
