Money,Count
57861773,24
57793034,3
57777778,1
57777778,1
57703126,8
57678321,1
57663711,1
57543346,2
57479076,1
57448723,2
57400547,1
57376511,3
57369107,4
57275624,5
57149976,2
57130027,1
57124167,6
57084522,1
56996304,1
56922577,5
56824812,3
56714147,1
56675895,1
56672662,2
56601353,2
56493421,4
56422514,3
56411585,1
56399659,1
56366958,2
56359980,1
56121533,3
56107312,1
56068806,2
56012642,1
56012642,1
55859420,3
55736588,1
55736588,1
55689061,2
55686478,2
55668698,1
55534455,1
55480747,7
55432841,1
55405035,1
55405035,1
55382927,1
55362705,1
55362705,1
55294924,3
55276747,2
55257450,1
55257450,1
55257450,1
55250496,1
55171439,3
55078146,1
54843509,3
54837234,1
54837234,1
54744738,1
54720865,2
54683487,1
54539789,4
54536328,2
54491162,1
54491162,1
54472962,2
54294169,1
54236499,6
54148608,11
54128300,3
54107830,2
54064798,2
53980742,3
53952478,2
53939297,1
53939297,1
53898845,1
53893061,2
53873809,1
53778422,2
53672080,1
53653224,1
53478579,1
53387570,2
53345874,2
53297155,2
53267000,1
53260230,1
53208180,1
53161520,3
52979261,2
52979139,4
52943458,2
52933513,1
52615074,2
52487045,1
52287414,1
52099090,1
52090236,1
52090187,1
51788958,1
51700666,1
51700666,1
51699984,1
51636415,1
51562705,2
51501039,2
51438149,11
51417188,1
51411620,1
51167572,1
51167572,1
51167572,1
51142659,1
51142659,1
51029361,1
50972546,3
50965026,4
50871113,1
50822273,2
50812934,1
50773567,5
50754785,3
50750000,1
50693129,1
50693129,1
50688658,1
50652203,1
50652203,1
50576805,1
50544493,1
50525772,2
50507267,1
50507267,1
50465912,3
50406179,3
50365498,1
50336279,1
50336279,1
50313686,2
50009782,4
50001705,2
49988563,4
49866524,3
49821013,4
49778552,1
49738639,5
49719207,2
49686545,2
49577116,3
49407734,1
49407734,1
49334775,1
49327405,1
49273271,3
49263389,5
49259766,1
49255185,2
49136975,2
49122841,3
49050886,1
48979656,1
48801211,5
48725837,10
48623572,1
48551322,1
48453605,1
48451803,1
48260279,1
48224863,2
48216918,2
48215900,2
48169910,1
48125091,6
48065672,1
48023509,1
48004835,2
47967636,1
47896028,2
47789074,1
47740610,7
47719794,1
47663668,5
47624353,1
47590122,3
47488536,1
47488536,1
47410827,1
47405566,1
47401007,2
47398992,1
47349002,1
47347283,1
47329961,1
47309313,1
47289150,2
47267829,1
47267829,1
47267829,1
47232776,1
47188559,3
47160000,1
47160000,1
47120948,1
47053625,1
46998772,1
46922566,1
46803337,2
46790517,5
46789413,1
46789413,1
46733235,1
46721863,3
46668694,3
46664414,1
46664414,1
46651414,1
46651414,1
46563961,1
46562928,2
46447014,2
46357676,1
46303618,2
46190426,4
46086573,2
46053474,8
45858563,1
45858563,1
45847751,1
45847751,1
45817876,3
45695585,2
45683091,2
45681173,1
45640143,1
45636368,1
45623894,3
45509788,3
45491656,1
45445187,4
45442922,3
45313937,3
45290470,2
45138628,3
45027620,6
44999621,1
44999621,1
44907260,1
44907074,1
44897968,5
44886232,2
44862187,1
44801177,1
44779195,1
44779195,1
44731284,5
44642726,2
44420167,1
44420167,1
44386820,5
44350926,1
44350926,1
44335497,3
44310395,1
44220962,7
44158274,3
44143410,1
44102542,10
44102389,1
44076355,2
44074461,2
44019588,1
44019588,1
